0 0 310.457 0 305.122 0 90.6526 0
1 3.32643 306.94 5.93983e-07 305.12 0 90.6399 4.59322e-09
2 10.4322 299.468 8.92333e-06 305.116 0 90.6016 9.01974e-08
500 6.39831 295.035 6.57987 305.116 0 48.66 0.019033
1000 31.0534 297.545 8.09263 305.144 0 43.7327 0.0240412
1500 19.834 299.489 9.9758 305.187 0 41.6671 0.0126096
2000 32.4753 298.818 9.81227 305.186 0 41.478 0.0161517
2500 5.34591 294.452 9.8698 305.184 0 40.4863 0.0237994
3000 6.87033 294.456 9.91768 305.201 0 40.4577 0.0238306
3500 8.57516 296.453 11.3336 305.218 0 41.511 0.0150441
4000 6.46677 294.571 10.9667 305.231 0 38.9099 0.0216086
4500 150.411 917.952 15.6869 305.867 0 38.8712 0.00875416
5000 13.7116 295.289 10.7657 305.238 0 40.033 0.0179477
5500 8.25695 295.499 11.8645 305.257 0 39.0669 0.0158677
6000 23.9898 299.298 12.7361 305.246 0 38.2285 0.0238019
6500 8.13145 296.959 11.5766 305.253 0 38.6118 0.0196249
7000 5.20842 295.619 11.499 305.25 0 38.0207 0.0251031
7500 7.34704 297.817 12.5114 305.256 0 37.8202 0.0236705
8000 5.74613 295.354 11.6121 305.246 0 37.1669 0.0252063
8500 9.436 298.521 11.5255 305.25 0 38.1438 0.0271859
9000 -nan -nan -nan -nan 0 -nan -nan
9500 -nan -nan -nan -nan 0 -nan -nan
10000 -nan -nan -nan -nan 0 -nan -nan
10500 -nan -nan -nan -nan 0 -nan -nan
11000 -nan -nan -nan -nan 0 -nan -nan
11500 -nan -nan -nan -nan 0 -nan -nan
12000 -nan -nan -nan -nan 0 -nan -nan
12500 -nan -nan -nan -nan 0 -nan -nan
13000 -nan -nan -nan -nan 0 -nan -nan
13500 -nan -nan -nan -nan 0 -nan -nan
14000 -nan -nan -nan -nan 0 -nan -nan
14500 -nan -nan -nan -nan 0 -nan -nan
15000 -nan -nan -nan -nan 0 -nan -nan
15500 -nan -nan -nan -nan 0 -nan -nan
16000 -nan -nan -nan -nan 0 -nan -nan
16500 -nan -nan -nan -nan 0 -nan -nan
17000 -nan -nan -nan -nan 0 -nan -nan
17500 -nan -nan -nan -nan 0 -nan -nan
18000 -nan -nan -nan -nan 0 -nan -nan
18500 -nan -nan -nan -nan 0 -nan -nan
19000 -nan -nan -nan -nan 0 -nan -nan
19500 -nan -nan -nan -nan 0 -nan -nan
20000 -nan -nan -nan -nan 0 -nan -nan
20500 -nan -nan -nan -nan 0 -nan -nan
21000 -nan -nan -nan -nan 0 -nan -nan
21500 -nan -nan -nan -nan 0 -nan -nan
22000 -nan -nan -nan -nan 0 -nan -nan
22500 -nan -nan -nan -nan 0 -nan -nan
23000 -nan -nan -nan -nan 0 -nan -nan
23500 -nan -nan -nan -nan 0 -nan -nan
24000 -nan -nan -nan -nan 0 -nan -nan
24500 -nan -nan -nan -nan 0 -nan -nan
25000 -nan -nan -nan -nan 0 -nan -nan
